,0,1
572,hirankheda3,23
573,hanautiya_mahuakheda,22
574,jhiriyajhora_mahuakheda,22
575,somalwada1,23
576,nayagaonv-1_mahuakheda,22
577,nayaganve-2_mahuakheda,22
578,karpa 2,38
579,khadkwar,38
580,khedi,23
581,CHILKAPUR 01,35
582,padrai thakur_mahuakheda,22
583,chhaparkheda,23
584,maharajganj_mahuakheda,22
585,mahuwakheda_mahuakheda,22
586,maidakheda_mahuakheda,22
587,CHILKAPUR,35
588,marapadol,30
589,aamsagar,30
590,aamdhana,30
591,badjhiri,30
592,badjhiri2,30
593,badwani,30
594,banspani,30
595,bapcha,30
596,banshipura,30
597,bobda,30
598,chandrakhaal,30
599,churani,30
600,dhanpada,30
601,domra,30
602,gagradhana,30
603,gorakhaal,30
604,indrapura,30
605,kasarani,30
606,kayada,30
607,keljhiri,30
608,khodebode,30
609,khumi,30
610,kumrum,30
611,kumrum,30
612,lakhadeh,30
613,rahatganv 1,30
614,rahatganv 2,30
615,rahatganv 3,30
616,rahatganv 4,30
617,rahatganv 5,30
618,rutubarra,30
619,singoda,30
620,singanpur,30
621,najarpura 1,30
622,najarpura 2,30
623,najarpura 3,30
624,dhanganv,30
625,fuladi 1,30
626,fuladi 2,30
627,chhidganv tamoli 1,30
628,chhidganv tamoli 2,30
629,kanganv,30
630,khamganv,30
631,sindhkheda,30
632,chhirpura,30
633,nimyaganv,30
634,kalpi,30
635,gadamod khurd,30
636,khatmakheda,30
637,bothi,30
638,kayari,30
639,mahukhaal ,30
640,mannasa,30
641,aamba,30
642,jhaadvida,30
643,jhaadvida 2,30
644,pandarmati,30
645,pandarmati dhana,30
646,umardha ,30
647,javardha,30
648,dong ,30
649,timarni  awc 15.2,30
650,timarni  awc 9,30
651,timarni  awc 6.1,30
652,charkheda,30
653,nimacha khurd,30
654,timarni  awc 5,30
655,malauna,30
656,timarni  awc 2.1,30
657,timarni  awc 7,30
658,timarni  awc 3,30
659,timarni  awc 10.1,30
660,timarni  awc 2.2,30
661,timarni  awc 14,30
662,timarni  awc 6.2,30
663,timarni  awc 11,30
664,timarni  awc 1,30
665,timarni  awc 13,30
666,timarni  awc 10.2,30
667,timarni  awc 12,30
668,malauna,30
669,timarni  awc 8,30
670,saamarda,30
671,khidkiwala,30
672,barkala,30
673,timarni  awc 15.1,30
674,nausar,30
675,nausar1,30
676,nausar2,30
677,chhidganv mail 1,30
678,chhidganv mail 2,30
679,piplya kala,30
680,sauntada,30
681,raybor,30
682,ahalbada,30
683,bichchhapur 1,30
684,bhayli ,30
685,bajaniya 2,30
686,gadrapur,30
687,pokharani 2,30
688,nausar 1,30
689,lahadpur,30
690,pokharni 1,30
691,baghwad 1,30
692,nimacha kala,30
693,pokharani 4,30
694,barja,30
695,bichchaapur 2,30
696,bajaniya 1,30
697,baghwad 2,30
698,sohagpur,30
699,pantalai 2,30
700,temaganv 2,30
701,dhaulpur kala 1,30
702,andherikheda,30
703,bhaduganv 1,30
704,dhaulpur kala 2,30
705,uskalli,30
706,sodalpur 4,30
707,pandwa,30
708,kapasi,30
709,dudhkachha 1,30
710,sodalpur 2,30
711,baharaganv,30
712,paantalai 1,30
713,jogikheda,30
714,undrakachh,30
715,nandwa,30
716,baharakhedi,30
717,aalampur 2,30
718,temaganv 1,30
719,jinvani,30
720,sirkamba,30
721,barudghat,30
722,jhirikheda,30
723,sodalpur 3,30
724,sodalpur 1,30
725,aalampur 1,30
726,bhaduganv 2,30
727,rundlay 1,30
728,maniyakhedi,30
729,dolariya,30
730,bhaisadand,38
731,bualkhapa,38
732,chhindi 1,38
733,chhindi 2,38
734,pajra_mahuakheda,22
735,singpur_mahuakheda,22
736,aamgaonv_malhanwada,22
737,anhai_malhanwada,22
738,anhai-2_malhanwada,22
739,bahrawan_malhanwada,22
740,chikhalikala 1,38
741,barchhi_malhanwada,22
742,chargaonv_malhanwada,22
743,dumar_malhanwada,22
744,chikhalikala 2,38
745,jaitwada_malhanwada,22
746,jasarwani_malhanwada,22
747,kapuri-1_malhanwada,22
748,kapuri-2_malhanwada,22
749,CHOPAN,35
750,macchera kala-2_malhanwada,22
751,machhera kala-1_malhanwada,22
752,machhera khurd_malhanwada,22
753,dunawa 1,38
754,hirankhed3,23
755,DHAMANGAON,35
756,mahuakheda kala_malhanwada,22
757,dunawa 2,38
758,somalwada1,23
759,malhanwada-1_malhanwada,22
760,malhanwada-2_malhanwada,22
761,dunawa 3,38
762,nandna_malhanwada,22
763,dunawa 4,38
764,padriya_malhanwada,22
765,paraswada_malhanwada,22
766,gangai,38
767,richhaida_malhanwada,22
768,salaiyafajju_malhanwada,22
769,surela randhir_malhanwada,22
770,tindwada_malhanwada,22
771,ghatpipariya 1,38
772,bijnhari_piparpani,22
773,chhirpani_piparpani,22
774,ghatpipariya 2,38
775,dangarhai_piparpani,22
776,khedi,23
777,dhadaw_piparpani,22
778,chhaparkheda,23
